"id","hash","base","type","path","format","name","description","trigger_phrases","created_at","updated_at","file_size"
"57a3e7d5-29fe-4e2f-8a4a-8f411ef68fff","blake3:a3f229f9b380ada7380187b3a9599c2def9ead68542adce8a58ab633d2ed512f","flux","lora","flux/lora/Landscape Illustration v1.safetensors","lycoris","Landscape Illustration v1","flux lora model Landscape Illustration v1","[""fjch""]","2025-07-18 02:49:58.402","2025-07-18 02:50:23.385",317112656
"89fca6f6-61a4-4040-a167-3689f19ae4b5","blake3:0acd97255b6596b34119253f2a85bbab42f6db3397899786e509b174257c314c","flux","lora","flux/lora/CE - Abstract Soft Watercolor 01 FLUX.safetensors","diffusers","CE - Abstract Soft Watercolor 01 FLUX","flux lora model CE - Abstract Soft Watercolor 01 FLUX","[""pasartcCE style""]","2025-07-18 08:04:59.117","2025-07-18 08:06:05.596",343805667
"f212f7fd-a076-4ee5-992f-ab1c101e8448","blake3:cb2f0c1ebdd23c0c96b9f91a24e71e7f6fb92647eb0c4c1d453aec90e2890281","flux","lora","flux/lora/CE - Cosmic 01 FLUX.safetensors","diffusers","CE - Cosmic 01 FLUX","flux lora model CE - Cosmic 01 FLUX","[""csmcCE style"",""cosmic""]","2025-07-18 08:04:59.452","2025-07-18 08:07:05.514",343805597
"7351586e-19d2-441e-be73-f38af741d823","blake3:dad5383b8d70ccd5edcc215cf4fd3e041d7bc8b97b48630137ac62f1d7a89c0e","flux","lora","flux/lora/CE - Vintage Travel Poster 01 FLUX.safetensors","diffusers","CE - Vintage Travel Poster 01 FLUX","flux lora model CE - Vintage Travel Poster 01 FLUX","[""vntgtrvlpstrCE style"",""travel poster""]","2025-07-18 08:05:00.949","2025-07-18 08:08:17.676",343805669
"048a9f08-1c73-4f08-af5e-3df92f7af2bc","blake3:6530b1add3ffbd2bcc6ee3b5a3a65d8a5528fff5669022319805812bea205eda","flux","lora","flux/lora/CE - Geometric 01 FLUX.safetensors","diffusers","CE - Geometric 01 FLUX","flux lora model CE - Geometric 01 FLUX","[""curvilinear"",""cubism"",""geometric"",""gmtrcCE style"",""honeycomb""]","2025-07-18 08:05:01.263","2025-07-18 08:07:59.192",343805577
"f0d7551d-a97b-444b-889f-c50075934642","blake3:2321af844242c5f1764a825ca100811a7c0a9dae963c8f56c1f1477fc16a487a","flux","lora","flux/lora/CE - Ink Wash 01 FLUX.safetensors","diffusers","CE - Ink Wash 01 FLUX","flux lora model CE - Ink Wash 01 FLUX","[""inkwshCE_style""]","2025-07-18 08:05:01.360","2025-07-18 08:07:33.629",86049824
"066c315d-56a5-4243-a919-94d98ca55e2c","blake3:1c671406a0b2fc3fcdb547af91cde86fa5c80be0083fc4d19078fbc5de3ffb23","flux","lora","flux/lora/CE - Squishy 02 FLUX.safetensors","diffusers","CE - Squishy 02 FLUX","flux lora model CE - Squishy 02 FLUX","[""sqshyCE style"",""squishy""]","2025-07-18 08:05:01.697","2025-07-18 08:07:22.183",343805681
"49ce43c1-f530-4ce8-86b6-82d6993e1a8b","blake3:6fc5f549b1dedee83da3f3d7f9e8a4d9db1465264c0ae373e9196f0d91967e2a","flux","lora","flux/lora/CE - Art Deco 01 FLUX.safetensors","diffusers","CE - Art Deco 01 FLUX","flux lora model CE - Art Deco 01 FLUX","[""art deco"",""artdcoCE_style""]","2025-07-18 08:05:02.028","2025-07-18 08:06:31.764",343805657
"7fb06029-550e-4247-b58d-1de1998132de","blake3:82543409b9332b334231fc4894bf811c5cd7b8836754334f1d34dfc7f959623a","flux","lora","flux/lora/CE - Painterly 01 FLUX.safetensors","diffusers","CE - Painterly 01 FLUX","flux lora model CE - Painterly 01 FLUX","[""pntrlyCE_style""]","2025-07-18 08:05:02.391","2025-07-18 08:06:48.449",343805675
"d5864fff-e415-4003-bb96-7809f17835c0","blake3:a49a3874b20d516964b682c094b18c0a7e751c7cc77d963d10b9b27911da1a97","flux","lora","flux/lora/CE - MoviePoster 01 FLUX.safetensors","diffusers","CE - MoviePoster 01 FLUX","flux lora model CE - MoviePoster 01 FLUX","[""mvpstrCE style""]","2025-07-18 08:14:08.785","2025-07-18 08:14:22.736",343805573
